Poll ID,Poll Type,Poll Question,Poll Option,Count,Total Votes,Results
65714425,Open Text,How many hours a day do you spend on social media?,2.3,1,20,
65714425,Open Text,How many hours a day do you spend on social media?,1.5,2,20,
65714425,Open Text,How many hours a day do you spend on social media?,3,1,20,
65714425,Open Text,How many hours a day do you spend on social media?,1,1,20,
65714425,Open Text,How many hours a day do you spend on social media?,8,1,20,
65714425,Open Text,How many hours a day do you spend on social media?,5,1,20,
65714425,Open Text,How many hours a day do you spend on social media?,3,4,20,
65714425,Open Text,How many hours a day do you spend on social media?,4,3,20,
65714425,Open Text,How many hours a day do you spend on social media?,7,1,20,
65714425,Open Text,How many hours a day do you spend on social media?,2.5,1,20,
65714425,Open Text,How many hours a day do you spend on social media?,18,1,20,
65714425,Open Text,How many hours a day do you spend on social media?,2,3,20,
65714425,Open Text,How many hours a day do you spend on social media?,6,1,20,
65714425,Open Text,How many hours a day do you spend on social media?,25,1,20,
65714425,Open Text,How many hours a day do you spend on social media?,10,1,20,
